sites,year,exposure,maybes
1001,2005,maybe,south
1007,2005,maybe,south
1008,2005,maybe,south
1009,2005,yes,NA
1010,2005,yes,NA
1011,2005,yes,NA
1012,2005,yes,NA
1013,2005,yes,NA
1014,2005,yes,NA
1015,2005,yes,NA
1016,2005,yes,NA
1017,2005,yes,NA
1018,2005,yes,NA
1019,2005,yes,NA
1020,2005,maybe,north
1021,2005,maybe,north
1023,2005,maybe,north
1025,2005,maybe,north
1029,2005,no,NA
1030,2005,no,NA
1034,2005,no,NA
1035,2005,no,NA
1036,2005,no,NA
1037,2005,no,NA
1040,2005,no,NA
1041,2005,no,NA
1042,2005,no,NA
1045,2005,no,NA
1046,2005,no,NA
1080,2005,no,NA
1083,2005,no,NA
1085,2005,no,NA
1086,2005,no,NA
1087,2005,no,NA
1090,2005,no,NA
1796,2005,no,NA
1797,2005,no,NA
1798,2005,no,NA
1800,2005,maybe,south
1801,2005,maybe,south
1807,2005,maybe,south
1809,2005,maybe,south
1813,2005,maybe,south
1817,2005,maybe,south
1820,2005,yes,NA
1824,2005,yes,NA
1825,2005,yes,NA
1829,2005,yes,NA
1832,2005,yes,NA
1833,2005,maybe,south
1834,2005,maybe,south
1835,2005,maybe,south
1836,2005,yes,NA
1837,2005,yes,NA
1839,2005,yes,NA
1840,2005,yes,NA
1843,2005,no,NA
1846,2005,no,NA
1850,2005,no,NA
1851,2005,no,NA
1854,2005,no,NA
1857,2005,no,NA
1869,2005,no,NA
1870,2005,no,NA
1871,2005,maybe,north
1897,2005,no,NA
1900,2005,no,NA
1901,2005,no,NA
1902,2005,no,NA
1903,2005,no,NA
1905,2005,maybe,north
1906,2005,no,NA
1907,2005,no,NA
1909,2005,no,NA
1910,2005,no,NA
2683,2005,maybe,south
2687,2005,maybe,south
2689,2005,maybe,south
2690,2005,maybe,south
2691,2005,maybe,south
2831,2005,no,NA
3553,2005,no,NA
372,2005,no,NA
429,2005,no,NA
7990611,2005,no,NA
917,2005,no,NA
918,2005,no,NA
928,2005,no,NA
929,2005,no,NA
947,2005,no,NA
948,2005,no,NA
949,2005,no,NA
961,2005,no,NA
962,2005,no,NA
983,2005,no,NA
984,2005,no,NA
985,2005,no,NA
986,2005,no,NA
987,2005,maybe,south
988,2005,maybe,south
989,2005,maybe,south
990,2005,no,NA
991,2005,maybe,south
992,2005,maybe,south
993,2005,maybe,south
998,2005,maybe,south
999,2005,maybe,south
1001,2006,maybe,south
1007,2006,yes,NA
1009,2006,yes,NA
1010,2006,yes,NA
1012,2006,yes,NA
1013,2006,yes,NA
1014,2006,yes,NA
1015,2006,yes,NA
1017,2006,yes,NA
1018,2006,yes,NA
1021,2006,maybe,north
1025,2006,maybe,north
1029,2006,no,NA
1030,2006,no,NA
1034,2006,no,NA
1035,2006,no,NA
1036,2006,no,NA
1037,2006,no,NA
1039,2006,no,NA
1040,2006,no,NA
1041,2006,no,NA
1042,2006,no,NA
1045,2006,no,NA
1046,2006,no,NA
1080,2006,no,NA
1083,2006,no,NA
1084,2006,no,NA
1086,2006,no,NA
1087,2006,no,NA
1088,2006,no,NA
1090,2006,no,NA
1798,2006,no,NA
1800,2006,maybe,south
1801,2006,maybe,south
1807,2006,maybe,south
1809,2006,maybe,south
1813,2006,maybe,south
1817,2006,maybe,south
1820,2006,yes,NA
1829,2006,yes,NA
1834,2006,yes,NA
1836,2006,yes,NA
1839,2006,yes,NA
1842,2006,no,NA
1843,2006,no,NA
1844,2006,no,NA
1846,2006,no,NA
1850,2006,no,NA
1851,2006,no,NA
1852,2006,no,NA
1854,2006,no,NA
1855,2006,no,NA
1869,2006,no,NA
1870,2006,no,NA
1897,2006,no,NA
1900,2006,no,NA
1901,2006,no,NA
1902,2006,no,NA
1903,2006,no,NA
1904,2006,no,NA
1905,2006,maybe,north
1906,2006,no,NA
1908,2006,no,NA
1909,2006,no,NA
1910,2006,no,NA
2683,2006,maybe,south
2687,2006,maybe,south
2689,2006,maybe,south
2690,2006,maybe,south
2691,2006,maybe,south
2831,2006,no,NA
3553,2006,no,NA
372,2006,no,NA
913,2006,no,NA
917,2006,no,NA
918,2006,no,NA
938,2006,no,NA
939,2006,no,NA
947,2006,no,NA
948,2006,no,NA
953,2006,no,NA
961,2006,no,NA
962,2006,no,NA
983,2006,no,NA
984,2006,no,NA
989,2006,maybe,south
991,2006,maybe,south
993,2006,maybe,south
998,2006,maybe,south
999,2006,maybe,south
1001,2007,maybe,south
1007,2007,yes,NA
1008,2007,yes,NA
1009,2007,yes,NA
1010,2007,yes,NA
1012,2007,yes,NA
1013,2007,yes,NA
1015,2007,yes,NA
1016,2007,yes,NA
1017,2007,yes,NA
1018,2007,yes,NA
1021,2007,maybe,north
1022,2007,maybe,north
1023,2007,maybe,north
1024,2007,maybe,north
1025,2007,maybe,north
1026,2007,maybe,north
1029,2007,no,NA
1030,2007,no,NA
1034,2007,no,NA
1035,2007,no,NA
1036,2007,no,NA
1037,2007,no,NA
1038,2007,no,NA
1040,2007,no,NA
1041,2007,no,NA
1042,2007,no,NA
1045,2007,no,NA
1046,2007,no,NA
1077,2007,no,NA
1080,2007,no,NA
1083,2007,no,NA
1085,2007,no,NA
1086,2007,no,NA
1087,2007,no,NA
1088,2007,no,NA
1090,2007,no,NA
1796,2007,no,NA
1797,2007,no,NA
1798,2007,no,NA
1803,2007,maybe,south
1809,2007,maybe,south
1817,2007,maybe,south
1820,2007,yes,NA
1829,2007,yes,NA
1833,2007,yes,NA
1834,2007,yes,NA
1836,2007,yes,NA
1838,2007,maybe,north
1839,2007,yes,NA
1840,2007,yes,NA
1844,2007,no,NA
1850,2007,no,NA
1852,2007,no,NA
1854,2007,no,NA
1869,2007,no,NA
1870,2007,no,NA
1871,2007,maybe,north
1872,2007,no,NA
1874,2007,no,NA
1875,2007,no,NA
1883,2007,no,NA
1887,2007,no,NA
1890,2007,no,NA
1897,2007,no,NA
1900,2007,no,NA
1901,2007,no,NA
1902,2007,no,NA
1903,2007,no,NA
1904,2007,no,NA
1905,2007,maybe,north
1906,2007,no,NA
1907,2007,no,NA
1909,2007,no,NA
1910,2007,no,NA
2683,2007,maybe,south
2687,2007,maybe,south
2689,2007,maybe,south
2690,2007,maybe,south
2691,2007,maybe,south
3553,2007,no,NA
372,2007,no,NA
7990611,2007,no,NA
918,2007,no,NA
938,2007,no,NA
947,2007,no,NA
948,2007,no,NA
949,2007,no,NA
952,2007,no,NA
961,2007,no,NA
962,2007,no,NA
983,2007,no,NA
984,2007,no,NA
986,2007,no,NA
989,2007,maybe,south
990,2007,maybe,south
