river,n
AALTANHASH RIVER,58
ALLARD CREEK,11
AMBACK CREEK,11
ANDERSON CREEK,17
ANGLER COVE CREEK,20
ARGYH CREEK,13
ARNOUP CREEK,48
BARNARD CREEK,21
BEALE'S LAGOON CREEK,30
BEAVER CREEK,31
BIG CREEK,7
BIG TILLHORN CREEK,5
BISH CREEK,38
BLACK ROCK CREEK,7
BLEE CREEK,47
BLOOMFIELD CREEK,36
BOLIN BAY CREEK,18
BORROWMAN CREEK,41
BOSWELL CREEK,8
BOTTLENECK CREEK,18
BRIM RIVER,47
BUSEY CREEK,11
CANOE CREEK,16
CANOONA RIVER,52
CARTER RIVER,14
CARTWRIGHT CREEK,8
CASCADE RIVER,44
CECIL CREEK,10
CHAPPLE CREEK,20
CHERRY CREEK,13
CHIST CREEK,24
CHOKE PASS CREEKS (3),25
CHUCKWALLA RIVER,43
CLATSE CREEK,19
CLIFFORD CREEK,21
CLYAK RIVER,31
COOPER INLET CREEKS,35
CORDELLA CREEK,6
CRAB HARBOUR CREEK,11
CRAB RIVER,6
CRIDGE INLET CREEK,22
DALA RIVER,49
DALLAIN CREEK,14
DALLERY CREEK,10
DALLY CREEK,24
DEER PASS LAGOON CREEKS,22
DEVIL CREEK,16
DOCEE RIVER,28
DOME CREEK,40
DON CREEK,22
DOUGLAS CREEK,26
DRANEY CREEK,9
DSULISH CREEK,6
DUFFEY CREEK,32
DUTHIE CREEK,30
EAGLE BAY CREEK,4
EAGLE CREEK,36
EAST ARM CREEK,39
ELCHO CREEK,46
ESTEVAN CREEK,5
EVELYN CREEK,54
EVINRUDE CREEK,20
FALLS RIVER,4
FLUX CREEK,29
FOCH RIVER,46
FOUR LAKES CREEK,4
FRENCHMAN CREEK,32
FURY CREEK,25
GEISH CREEK,5
GENESEE CREEK,11
GIL CREEK,24
GILTTOYEES CREEK,35
GOAT BUSHU CREEK,4
GOAT RIVER,5
GORILLA CREEK,5
GREEN RIVER,59
GULL CREEK,11
HARTLEY BAY CREEK,51
HIRSCH CREEK,29
HOOK NOSE CREEK,28
HOTSPRING CREEK,8
HUGH CREEK,47
HUMPHRYS CREEK,31
JAMES BAY CREEK,26
JENNY BAY CREEKS,23
JOHNSTON CREEK,34
KADJUSDIS RIVER,38
KAINET CREEK,46
KDELMASHAN CREEK,34
KEESIL CREEK,7
KEMANO RIVER,40
KHUTZE RIVER,45
KIHESS CREEK,5
KILBELLA RIVER,40
KILDALA RIVER,43
KILDIDT CREEK,24
KILDIDT LAGOON #2 CREEK,23
KILTUISH RIVER,46
KIMSQUIT RIVER,20
KISAMEET RIVER,22
KISKOSH CREEK,48
KITASU CREEK,34
KITIMAT RIVER,35
KITKIATA CREEK,38
KITLOPE RIVER,36
KLEKANE RIVER,19
KOEYE RIVER,29
KORICH CREEK,6
KOWESAS RIVER,24
KUNSOOT RIVER,40
KWAKUSDIS RIVER,41
KWAKWA CREEK,27
KWATNA RIVER,30
LAGOON CREEK,27
LARD CREEK,7
LEE CREEK,11
LIMESTONE CREEK,38
LINNEA CREEK,23
LITTLE CREEK,33
LITTLE WEDEENE RIVER,33
LOCKHART GORDON CREEK,27
M.E.S.S. CREEK,5
MACNAIR CREEK,20
MARMOT COVE CREEK,11
MARSHALL CREEK,9
MARTIN RIVER,56
MARY COVE CREEK,25
MCDONALD CREEK,18
MCLOUGHLIN CREEK,36
MCMICKING CREEK,9
MEYERS PASS CREEK,8
MILTON RIVER,20
MISSED CREEK,10
MOORE CREEK,6
MUSSEL RIVER,37
NALBEELAH CREEK,27
NAMELESS CREEK,20
NAMU RIVER,23
NEECHANZ RIVER,13
NEEKAS CREEK,27
NEKITE RIVER,17
NIAS CREEK,45
NICKNAQUEET RIVER,5
NOBLE  CREEK,26
NOOTUM RIVER,19
OSMENT CREEK,11
PACKE CREEK,9
PARIL RIVER,43
PENN CREEK,14
PIKE CREEK,26
PINE RIVER,35
POISON COVE CREEK,9
POWLES CREEK,41
PRICE CREEK,36
PYNE CREEK,33
QUAAL RIVER,50
QUARTCHA CREEK,51
QUIGLEY CREEK,39
RIORDAN CREEK,35
ROLAND CREEK,41
RONALD CREEK,27
ROSCOE CREEK,53
SAGAR CREEK,10
SALLY CREEK,9
SALMON BAY CREEK,18
SALMON CREEK,14
SCOW BAY CREEK,40
SENTINEL CREEK,17
SHEEMAHANT RIVER,18
SHIP POINT CREEK,25
SKOWQUILTZ RIVER,14
SODA CREEK,38
SOUND POINT LAGOON CREEK,20
STANNARD CREEK,36
STEEP CREEK,41
STEWART CREEK,27
TAKUSH RIVER,12
TALAMOOSA CREEK,33
TANKEEAH RIVER,33
TRAHEY CREEK,24
TRENEMAN CREEK,31
TSAYTIS RIVER,16
TUNO CREEK,22
TUNO CREEK WEST,20
TURN CREEK,16
TURTLE CREEK,5
TUWARTZ CREEK,22
TYLER CREEK,48
TZEO RIVER,9
VERNEY PASSAGE CREEK,11
WAHOO CREEK,45
WALE CREEK,39
WALKUM CREEK,14
WANNOCK RIVER,17
WASHWASH RIVER,19
WATHL CREEK,17
WATT CREEK,26
WEBSTER LAKE CREEK,4
WEDEENE RIVER,27
WEEWANIE CREEK,34
WEST ARM CREEK,34
WEST CREEK,17
WHALEN CREEK,11
WINDY BAY CREEK,21
WINDY ISLAND CREEK,5
WORAN CREEK,11
YOUNG RIVER,4
