gfe_id,brood_year,river,species,indicator,long,lat,area,con_unit,spawners,returns,total_er,recruits,recruits_age2,recruits_age3,recruits_age4,recruits_age5,recruits_age6,recruits_age7,returns_proportion_age_2,returns_proportion_age_3,returns_proportion_age_4,returns_proportion_age_5,returns_proportion_age_6,returns_proportion_age_7
1001,1954,TANKEEAH RIVER,CO,N,52.30587326,-128.2577735,7,CO-27,1750,2504.74153655814,0.301325117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,1954,TUNO CREEK,CO,N,52.28449018,-128.3216395,7,CO-27,350,500.948307311628,0.301325117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003,1954,TUNO CREEK WEST,CO,N,52.29723969,-128.3569893,7,CO-27,150,214.692131704984,0.301325117,224.579420010437,NA,122.290069500037,101.026960775975,1.2623897344253,NA,NA,NA,0.85441,0.14117,0.00441,NA,NA
1010,1954,KAINET CREEK,CO,Y,52.7564471,-127.8771912,7,CO-26,750,1123.60803279548,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,1954,POISON COVE CREEK,CO,N,52.90099197,-128.0214545,7,CO-26,750,1123.60803279548,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,1954,MUSSEL RIVER,CO,N,52.92057632,-128.0324959,7,CO-26,750,1123.60803279548,0.332507442,619.732752136541,NA,512.011700960417,84.5971978611932,23.1238533149309,NA,NA,NA,0.85441,0.14117,0.00441,NA,NA
1016,1954,BOLIN BAY CREEK,CO,N,52.83734122,-128.2251576,7,CO-26,200,299.62880874546,0.332507442,528.369186701854,NA,512.011700960417,15.8619745989737,0.495511142462805,NA,NA,NA,0.85441,0.14117,0.00441,NA,NA
1017,1954,CARTER RIVER,CO,N,52.83917985,-128.3753946,7,CO-26,25,37.4536010931825,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,1954,GREEN RIVER,CO,Y,52.99619893,-128.3782571,6,CO-26,750,1123.60803279548,0.332507442,112.029338909873,NA,96.0021939300782,15.8619745989737,0.165170380820935,NA,NA,NA,0.85441,0.14117,0.00441,NA,NA
1021,1954,KHUTZE RIVER,CO,Y,53.08524368,-128.4121689,6,CO-30,1500,2247.21606559095,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,1954,DOME CREEK,CO,N,53.14294234,-128.4750814,6,CO-30,400,599.25761749092,0.332507442,459.804377324608,NA,427.624243265346,32.1801340592624,NA,NA,NA,NA,0.71359,0.2864,NA,NA,NA
1023,1954,AALTANHASH RIVER,CO,Y,53.14655991,-128.477473,6,CO-30,400,599.25761749092,0.332507442,1123.59679671515,NA,801.795456122524,321.801340592624,NA,NA,NA,NA,0.71359,0.2864,NA,NA,NA
1025,1954,SCOW BAY CREEK,CO,N,53.22416356,-128.6625501,6,CO-30,400,599.25761749092,0.332507442,5243.45171800402,NA,3741.71212857178,1501.7395894322501,NA,NA,NA,NA,0.71359,0.2864,NA,NA,NA
1026,1954,KLEKANE RIVER,CO,N,53.24637057,-128.6861102,6,CO-30,400,599.25761749092,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,1954,ANGLER COVE CREEK,CO,N,53.31704619,-128.8835921,6,CO-30,75,112.360803279548,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,1954,GOAT RIVER,CO,N,53.3607623,-128.8467036,6,CO-30,200,299.62880874546,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,1954,PARIL RIVER,CO,Y,53.48843102,-128.7659169,6,CO-30,1500,2247.21606559095,0.332507442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
