seine_date,site,zone,fish_spp,lep_co,lep_total,cal_total,lat,long,year,month,day,lep_motiles,lep_chal,if (...) NULL
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,1,0,NA,NA,2005,6,5,1,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,1,0,NA,NA,2005,6,5,0,1,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,1,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,0,0,NA,NA,2005,6,5,0,0,Jackson Pass
5-Jun-05,Jackson Pass,NA,Pink,NA,1,0,NA,NA,2005,6,5,0,1,Jackson Pass
