seine_date,site,zone,fish_spp,lep_co,lep_c1,lep_c2,lep_c3,lep_c4,lep_pam,lep_paf,lep_am,lep_af,lep_total,cal_total,lat,long,year,month,day
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,1,NA,NA,1,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
5-Jun-05,Jackson Pass,NA,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2005,6,5
