year,month,day,seine_date
2011,7,6,6-Jul-11
2007,7,10,July 10-07
2008,7,2,July 2-08
2007,7,3,July 3-07
2007,7,9,July 9-07
2009,7,2,July-02-09
2022,6,1,01-06-2022
2022,6,2,02-06-2022
2022,6,3,03-06-2022
2009,6,5,05-Jun-09
2022,6,7,07-06-2022
2022,6,8,08-06-2022
2009,6,8,08-Jun-09
2018,6,8,08-Jun-18
2022,6,9,09-06-2022
2016,6,9,09-Jun-16
2006,6,1,1-Jun-06
2011,6,1,1-Jun-11
2021,6,1,1-Jun-21
2022,6,10,10-06-2022
2011,6,10,10-Jun-11
2013,6,10,10-Jun-13
2021,6,10,10-Jun-21
2012,6,10,10-May-12
2011,6,11,11-Jun-11
2013,6,11,11-Jun-13
2014,6,11,11-Jun-14
2018,6,11,11-Jun-18
2006,6,12,12-Jun-06
2014,6,12,12-Jun-14
2018,6,12,12-Jun-18
2020,6,12,12-Jun-20
2022,6,13,13-06-2022
2006,6,13,13-Jun-06
2012,6,13,13-Jun-12
2013,6,13,13-Jun-13
2018,6,13,13-Jun-18
2022,6,14,14-06-2022
2012,6,14,14-Jun-12
2021,6,14,14-Jun-21
2022,6,15,15-06-2022
2006,6,15,15-Jun-06
2012,6,15,15-Jun-12
2015,6,15,15-Jun-15
2017,6,15,15-Jun-17
2021,6,15,15-Jun-21
2022,6,16,16-06-2022
2011,6,16,16-Jun-11
2014,6,16,16-Jun-14
2017,6,16,16-Jun-17
2021,6,16,16-Jun-21
2011,6,17,17-Jun-11
2014,6,17,17-Jun-14
2009,6,18,18-Jun-09
2010,6,18,18-Jun-10
2012,6,18,18-Jun-12
2014,6,18,18-Jun-14
2021,6,18,18-Jun-21
2006,6,19,19-Jun-06
2009,6,19,19-Jun-09
2012,6,19,19-Jun-12
2006,6,2,2-Jun-06
2011,6,2,2-Jun-11
2012,6,2,2-Jun-12
2020,6,2,2-Jun-20
2011,6,20,20-Jun-11
2012,6,21,21-Jun-12
2010,6,22,22-Jun-10
2011,6,22,22-Jun-11
2012,6,22,22-Jun-12
2017,6,22,22-Jun-17
