b_i_vals,popn
NA,
-2.463371013811294e-4,TANKEEAH RIVER
-7.27102836939185e-4,TOM BAY CREEK
-3.614154315537771e-5,NAMELESS CREEK
-4.631029146290937e-5,SALMON BAY CREEK
-2.2351600776544767e-4,HIRD POINT CREEK
-6.832751979132506e-4,LARD CREEK
-9.04701244756805e-6,KAINET CREEK
-4.5527694742760804e-5,KORICH CREEK
-1.8630824091496646e-4,POISON COVE CREEK
-1.6508708656809326e-5,MUSSEL RIVER
-1.722559628658174e-4,BOLIN BAY CREEK
-4.62684739296755e-5,CARTER RIVER
-2.5343716401121332e-5,GREEN RIVER
-0.003000841846385295,TAYLOR CREEK
-5.452277452159051e-4,MARSHALL CREEK
-1.6350339069510415e-5,KHUTZE RIVER
-1.1224253832870147e-4,DOME CREEK
-1.1057148137233367e-4,AALTANHASH RIVER
-3.9605555510664843e-5,SCOW BAY CREEK
-1.9823921180126466e-4,KLEKANE RIVER
-8.046050720606444e-4,ANGLER COVE CREEK
-0.0014110345806657692,GOAT RIVER
-0.0010717367643257745,PARIL RIVER
-5.609031943773577e-5,KILTUISH RIVER
-8.542219825616945e-4,KOWESAS RIVER
-1.596829427484079e-4,TSAYTIS RIVER
-3.5105763470188517e-6,KEMANO RIVER
-2.2647405763180853e-5,BRIM RIVER
-8.907878506664561e-4,HOTSPRING CREEK
-3.1566496611321385e-4,CRAB RIVER
-2.597405363264448e-4,PIKE CREEK
-1.6174647144995968e-4,WEEWANIE CREEK
-7.045986042526566e-5,HUGH CREEK
-7.706301801655269e-5,EAGLE BAY CREEK
-4.364047882978092e-5,KILDALA RIVER
-1.1606299441999576e-5,DALA RIVER
-5.273136522258413e-4,WATHL CREEK
-4.256311754141336e-6,KITIMAT RIVER
-1.295394053760815e-5,BISH CREEK
-3.285741563566263e-5,GILTTOYEES CREEK
-4.0325977764660786e-5,FOCH RIVER
-0.0033726495825065214,KIHESS CREEK
-1.4487524619837649e-5,KITKIATA CREEK
-2.4834833272236423e-6,QUAAL RIVER
-4.877265637253425e-5,KISKOSH CREEK
-0.004575805117315306,CRAB HARBOUR CREEK
-5.4974519286628935e-5,COOPER INLET CREEKS
-3.112220625033391e-4,KISAMEET RIVER
-3.791347676645951e-4,SAGAR CREEK
-1.191808612571297e-4,EVANS INLET #3 CREEK
-9.220540796528325e-5,HOOK NOSE CREEK
-5.869102805104536e-5,JENNY BAY CREEKS
-1.3625274593194903e-4,KADJUSDIS RIVER
-6.275094530938185e-5,KUNSOOT RIVER
-4.04120090613075e-4,BEALE'S LAGOON CREEK
-0.002801540041117124,SALLY CREEK
-0.0011891483424421394,DEER PASS LAGOON CREEKS
-4.137316309907991e-4,WEBSTER LAKE CREEK
-9.53549080062175e-4,MCLOUGHLIN CREEK
-7.374669390944505e-5,KWAKUSDIS RIVER
-0.00395560468671645,BULLEY BAY CREEK
-7.869144948852934e-4,PRICE CREEK
-6.505665272339399e-4,KITASU CREEK
-6.101573055378171e-4,GULL CREEK
-0.0011785275163873417,OSMENT CREEK
-0.0015908134687664744,KWAKWA CREEK
-0.0031017412927876716,MEYERS PASS CREEK
-0.00558248514469353,GORILLA CREEK
-0.0013683681691567327,LAGOON CREEK
-0.009051062742180302,MARY COVE CREEK
-2.2879216022068154e-4,WATSON BAY CREEK
-2.54532562968359e-4,BOTTLENECK CREEK
-3.67542492402814e-5,JAMES BAY CREEK
-1.7028305232819668e-4,CANYON CREEK
-9.977702967391852e-5,DUTHIE CREEK
-0.0010610293397530068,WINDY BAY CREEK
-4.218548275208379e-5,CANOONA RIVER
-4.152956857390967e-5,SODA CREEK
-9.362661979500674e-4,LITTLE CREEK
-3.3561386076606185e-4,QUIGLEY CREEK
-3.530915358974072e-4,POWLES CREEK
-3.173543462136113e-4,BLEE CREEK
-2.750973418767079e-4,BLOOMFIELD CREEK
-3.9669738686409154e-4,DALLY CREEK
-2.6464699901549724e-5,ARNOUP CREEK
-2.9257063533239517e-4,RONALD CREEK
-8.72224157790288e-5,NIAS CREEK
-6.776967726676387e-4,PACKE CREEK
-8.470108639053588e-5,TYLER CREEK
-1.0479033843807195e-4,PYNE CREEK
-4.3075091097208144e-4,TRAHEY CREEK
-0.0010424048134047587,DALLAIN CREEK
-0.0011027854355233865,TALAMOOSA CREEK
-3.2240093338497324e-4,WALE CREEK
-0.0026573938673270505,ARGYH CREEK
-0.005835979031167679,PENN CREEK
-3.0381447251037476e-4,ROLAND CREEK
-1.2383277554902974e-4,DOUGLAS CREEK
-2.0343939428360346e-4,CHAPPLE CREEK
-7.119354111869667e-5,BARNARD CREEK
-3.904104577845989e-4,WEST ARM CREEK
-4.524182137286258e-4,EAST ARM CREEK
-6.805321029282911e-4,DEVIL CREEK
-4.11247546699232e-5,LIMESTONE CREEK
-3.887087311067323e-5,FURY CREEK
-1.0614682353629083e-4,DON CREEK
-4.6456279397677345e-4,LINNEA CREEK
-6.319425379852759e-4,DUFFEY CREEK
-8.398656862113068e-4,NOBLE  CREEK
-1.251064294242081e-4,KDELMASHAN CREEK
-0.0015842133593307575,SENTINEL CREEK
-2.588609224697247e-4,CLIFFORD CREEK
-5.271882381688024e-4,SALMON CREEK
-1.4988267488720404e-4,EAGLE CREEK
-0.002490130234993735,TRENEMAN CREEK
-4.830324056460868e-5,STANNARD CREEK
-3.147405425874854e-5,BORROWMAN CREEK
-3.055092843716872e-4,WEST CREEK
-0.0010847834184604893,CARTWRIGHT CREEK
-1.1728981073869532e-5,GIL CREEK
-3.925062815340214e-4,WINDY ISLAND CREEK
-2.1594137381528443e-4,BLACK ROCK CREEK
-3.6197021984025744e-5,TURN CREEK
-3.6123220840317414e-5,TURTLE CREEK
-3.871899074030138e-4,RIORDAN CREEK
-4.586134306808835e-5,EVELYN CREEK
-0.0018809855719118295,LITTLE TILLHORN CREEK
-2.6785347602283337e-4,BIG TILLHORN CREEK
-4.700546527705381e-4,TUWARTZ CREEK
