c,null_like,alt_like,p
0,-27943.47955630604,-27944.015903937994,1
0.01,-28702.301774444353,-28702.897743702524,1
0.02,-27998.183205145313,-27996.382550596005,0.0577340912222354
0.03,-27836.209799124663,-27835.99790990877,0.5150576762978339
0.04,-28603.17285449693,-28603.204897261217,1
0.05,-26661.512588508376,-26660.511225618116,0.15701662297078997
0.06,-27757.610827825876,-27758.058918648287,1
0.07,-28391.25003853017,-28388.62093687568,0.021843557462853505
0.08,-27465.025147988217,-27464.655647255884,0.3899809324368708
0.09,-28782.51610662298,-28782.228381892677,0.4481015353679465
0.1,-27570.448899432075,-27571.024315805524,1
0.11,-28222.198807639943,-28222.604174710414,1
0.12,-26641.373317728052,-26641.187481950157,0.5420945339450197
0.13,-28066.481731460077,-28065.52302769832,0.1661427352642723
0.14,-26895.581954607394,-26892.750884881512,0.017334964870402623
0.15,-28272.758919630996,-28271.99045753242,0.21507621350294556
0.16,-28964.486286829662,-28964.509501357796,1
0.17,-27290.374636691224,-27290.762137234182,1
0.18,-28069.156009167666,-28067.723194700968,0.09049033176904231
0.19,-28619.046166174983,-28617.812929111216,0.11629854742645185
0.2,-28320.822630452032,-28319.25018105124,0.07616472538384449
0.21,-28730.818941304067,-28731.47208618679,1
0.22,-26813.431452483837,-26813.996452352156,1
0.23,-28169.535422645746,-28169.40521892288,0.6098403722583912
0.24,-27876.638142583073,-27875.061559163652,0.07577976086111292
0.25,-27739.55721707301,-27738.782675749917,0.21327091824093922
0.26,-26532.214926416615,-26528.094587861215,0.004096184867157632
0.27,-28155.311993795294,-28155.79219649031,1
0.28,-28370.24683798879,-28369.55981041355,0.2411163728379115
0.29,-28255.83628493634,-28255.29463036031,0.29795845386231157
0.3,-27954.424429608756,-27954.797677253657,1
0.31,-27525.69913838186,-27519.17448494311,3.033966673641971e-4
0.32,-27795.25285595775,-27795.908077299413,1
0.33,-27993.860002009664,-27993.465827911474,0.37460006239875865
0.34,-27929.25048492857,-27929.01497447333,0.49251787657044055
0.35000000000000003,-27618.379112390976,-27617.537319666935,0.19444871126461577
0.36,-27896.466496206987,-27896.976274658653,1
0.37,-28995.073349276743,-28994.340138991156,0.22591129717903535
0.38,-27159.14949261258,-27154.751669193498,0.0030195016683067727
0.39,-28135.435098859638,-28133.074037967654,0.029776978856528566
0.4,-28668.19980362784,-28666.06592505061,0.03884216673904272
0.41000000000000003,-27556.07969455863,-27556.453913349567,1
0.42,-26894.2463648048,-26891.657879342383,0.02288819192294462
0.43,-27619.804388242097,-27617.986240407445,0.056532585285195384
0.44,-27723.895022023113,-27723.88595682148,0.8928892509526889
0.45,-27697.740712647996,-27698.0088157344,1
0.46,-28498.685646116388,-28496.96037778269,0.0632312358381709
0.47000000000000003,-28469.429661868693,-28468.362791316285,0.1440887095582056
0.48,-27026.820998867497,-27025.033624936023,0.05866435396875536
0.49,-28047.818949907214,-28045.62564087345,0.03622209545693089
0.5,-27484.702257271845,-27484.996353312625,1
0.51,-27715.172691630796,-27711.305310945438,0.005416772153841089
0.52,-27566.742662305765,-27567.052761883315,1
0.53,-28123.847648664203,-28124.07089116165,1
0.54,-27439.96635780645,-27432.082000457933,7.157635764784939e-5
0.55,-27088.619522100547,-27088.47466498755,0.5904037191710195
0.56,-28499.536039850358,-28499.10551843665,0.3534470282346355
0.5700000000000001,-27250.040132808615,-27244.17327687702,6.137805234551288e-4
0.58,-27385.15471854009,-27384.24095655191,0.1764202812063311
0.59,-28224.27866711085,-28220.585280318573,0.0065705245953014595
0.6,-28868.22462011412,-28867.573546498345,0.2538213792846997
0.61,-27939.898793559703,-27935.90089886303,0.004688625441307487
0.62,-27841.09444568881,-27835.08473973816,5.264931211133836e-4
0.63,-28066.28866243451,-28061.110267527274,0.001289993328079088
0.64,-28113.780515617822,-28111.61916955964,0.03760737986779392
0.65,-28694.494132177868,-28687.972893659633,3.0450508793070325e-4
0.66,-28437.920259366223,-28433.292900473138,0.002348895292834658
0.67,-27509.840881206077,-27507.788682616345,0.042771836670822204
0.68,-27931.17235257516,-27924.32835323467,2.1582935274123933e-4
0.6900000000000001,-27895.340032295895,-27889.725796379553,8.055194403379436e-4
