c,null_like,alt_like,p
0,-14748.60796191247,-14748.188896092157,0.35993166978694263
0.01,-14971.718632384378,-14971.713190482913,0.9169110689515304
0.02,-15413.176126441005,-15413.181371934783,1
0.03,-14886.083441043722,-14886.661771941623,1
0.04,-15063.373194318967,-15062.95478397008,0.3603076387700556
0.05,-15661.640292163003,-15661.931413350398,1
0.06,-15347.531665916309,-15348.460084066412,1
0.07,-15477.559234242573,-15475.42209859656,0.038693551671958
0.08,-15177.796192178219,-15178.063941701726,1
0.09,-15302.418850228472,-15303.230063352656,1
0.1,-15378.995551076096,-15379.604301760157,1
0.11,-14613.525056105147,-14614.213267427189,1
0.12,-14917.94359141974,-14918.184006134863,1
0.13,-14772.894843543363,-14773.208075705068,1
0.14,-15840.402150659302,-15839.851341603202,0.29391127039690335
0.15,-15212.099518719288,-15211.585200592906,0.3104791880118926
0.16,-15048.400577993716,-15048.780160584294,1
0.17,-15174.129187182778,-15171.681643349499,0.026933205960805992
0.18,-15275.607154740825,-15276.107527548895,1
0.19,-15240.900391906112,-15241.346274817213,1
0.2,-15083.738489655185,-15084.556748648138,1
0.21,-15574.075854659044,-15574.618384042999,1
0.22,-14472.470767382603,-14468.868273215005,0.007270122185654255
0.23,-15657.304424760145,-15657.145480429193,0.5728792529968323
0.24,-15143.89131058207,-15142.735840528727,0.12846633143958944
0.25,-15300.399012137026,-15299.569026603727,0.19760723043362807
0.26,-15062.12956410002,-15062.709801418157,1
0.27,-15018.921648230938,-15019.758191005782,1
0.28,-14501.140539825343,-14501.333345789835,1
0.29,-15209.005517537218,-15207.078363180352,0.04961836996329954
0.3,-14708.903579722053,-14704.671789333393,0.0036232784996449536
0.31,-14940.478363921344,-14938.081615931453,0.02856738794938054
0.32,-14341.02726304095,-14341.677204310796,1
0.33,-14472.110655682342,-14472.566495834948,1
0.34,-15663.109303536758,-15661.23151831779,0.05263183403861992
0.35000000000000003,-14314.088404943774,-14312.2833878276,0.057431937443132
0.36,-14922.998387943502,-14922.382229474266,0.2669569214652129
0.37,-15834.929777722722,-15833.137138646734,0.05829365702354244
0.38,-15118.03892939282,-15116.498820192892,0.07924988360472364
0.39,-15314.062036354431,-15311.582928917953,0.025967000317582752
0.4,-15422.102123827966,-15421.65225053883,0.34284967190836746
0.41000000000000003,-15045.81902237436,-15044.46929009223,0.10038195327260192
0.42,-15048.2791723263,-15047.932704132367,0.40516739859596057
